0	0	0
0	0	0
0	0	0
0.040077	1.8032E-07	1.4401E-07
0.045404	0.00014595	3.8222E-05
0.057134	0.00023537	0.00012145
0.065001	0.00011076	3.5575E-05
0.077658	6.3133E-05	2.8226E-05
0.084055	7.5658E-05	3.5018E-05
0.092197	2.9314E-05	1.4872E-05
0.1086	2.1198E-05	1.6562E-05
0.11569	1.087E-05	5.705E-06
0.12437	8.462E-05	5.1882E-05
0.13071	1.8761E-05	1.7442E-05
0.14652	3.3078E-06	2.0965E-06
0.15795	3.8094E-06	2.3247E-06
0.16456	2.4746E-06	9.9193E-07
0.17422	6.9815E-07	1.9226E-07
0.18493	9.4214E-07	2.6826E-07
0.19457	2.8981E-06	8.4252E-07
0.20468	2.1915E-06	7.7713E-07
0.216	2.4259E-06	1.3751E-06
0.22462	3.2665E-06	1.7721E-06
0.23509	1.79E-06	6.7466E-07
0.24393	3.1147E-06	2.2349E-06
0.25528	9.6746E-06	7.7787E-06
0.26765	1.1022E-06	5.136E-07
0.27234	8.5004E-06	4.4352E-06
0.28465	2.3309E-06	7.3359E-07
0.29325	2.0412E-06	9.1416E-07
0.30459	3.8517E-06	1.7259E-06
0.31565	4.4661E-06	1.8925E-06
0.32364	5.8107E-06	2.9338E-06
0.33538	3.3926E-06	2.01E-06
0.34383	3.7637E-06	1.4089E-06
0.35224	5.1465E-06	2.8708E-06
0.36563	1.4018E-06	6.9323E-07
0.37634	7.4211E-06	3.1743E-06
0.38499	8.735E-07	3.2311E-07
0.39629	6.596E-06	3.4432E-06
0.40521	4.1256E-06	1.7957E-06
0.41527	8.0171E-06	3.4161E-06
0.4234	2.5472E-06	9.7083E-07
0.43448	5.0351E-06	2.701E-06
0.44612	1.7086E-06	1.0253E-06
0.45668	4.0476E-06	1.4874E-06
0.46328	2.7202E-06	1.2164E-06
0.47351	1.2845E-06	6.3111E-07
0.48699	2.7789E-06	2.3654E-06
0.49672	4.3897E-06	1.9807E-06
0.50299	1.6526E-06	9.5158E-07
0.51333	9.6415E-07	5.0489E-07
0.52375	2.9972E-06	1.2464E-06
0.5357	4.4107E-06	2.566E-06
0.54513	6.3862E-07	2.8046E-07
0.55521	1.3003E-06	5.5618E-07
