0	0
0	0
0	0
0.040077	1.8032E-07
0.045404	0.00014595
0.057134	0.00023537
0.065001	0.00011076
0.077658	6.3133E-05
0.084055	7.5658E-05
0.092197	2.9314E-05
0.1086	2.1198E-05
0.11569	1.087E-05
0.12437	8.462E-05
0.13071	1.8761E-05
0.14652	3.3078E-06
0.15795	3.8094E-06
0.16456	2.4746E-06
0.17422	6.9815E-07
0.18493	9.4214E-07
0.19457	2.8981E-06
0.20468	2.1915E-06
0.216	2.4259E-06
0.22462	3.2665E-06
0.23509	1.79E-06
0.24393	3.1147E-06
0.25528	9.6746E-06
0.26765	1.1022E-06
0.27234	8.5004E-06
0.28465	2.3309E-06
0.29325	2.0412E-06
0.30459	3.8517E-06
0.31565	4.4661E-06
0.32364	5.8107E-06
0.33538	3.3926E-06
0.34383	3.7637E-06
0.35224	5.1465E-06
0.36563	1.4018E-06
0.37634	7.4211E-06
0.38499	8.735E-07
0.39629	6.596E-06
0.40521	4.1256E-06
0.41527	8.0171E-06
0.4234	2.5472E-06
0.43448	5.0351E-06
0.44612	1.7086E-06
0.45668	4.0476E-06
0.46328	2.7202E-06
0.47351	1.2845E-06
0.48699	2.7789E-06
0.49672	4.3897E-06
0.50299	1.6526E-06
0.51333	9.6415E-07
0.52375	2.9972E-06
0.5357	4.4107E-06
0.54513	6.3862E-07
0.55521	1.3003E-06
0.56414	2.2847E-06
0.57287	1.7943E-06
0.58343	6.3877E-07
0.59877	1.0545E-05
0.60451	2.5545E-06
0.61466	2.8763E-06
0.62559	1.8935E-06
0.6346	1.5415E-06
0.64588	5.7146E-07
0.6541	5.2393E-06
0.66408	3.0993E-06
0.67314	2.4036E-06
0.68564	1.7673E-06
0.6958	3.7367E-06
0.70693	1.835E-06
0.71365	2.0599E-06
0.72669	2.6169E-06
0.73385	3.9068E-06
0.74614	1.0435E-06
0.75324	2.363E-06
0.76615	3.1543E-06
0.77389	2.0818E-06
0.78436	4.0051E-07
0.79415	7.6815E-07
0.80352	1.2582E-06
0.81216	3.8062E-06
0.82435	3.3097E-06
0.8344	5.3901E-07
0.8441	1.162E-07
0.85431	9.8654E-07
0.86651	3.1032E-06
0.87519	1.0373E-06
0.88522	1.8726E-06
0.89655	2.6854E-06
0.90731	1.8885E-06
0.91301	1.5153E-06
0.92631	1.2123E-06
0.93382	1.2352E-06
0.94364	1.6485E-06
0.95591	1.991E-07
0.96449	2.7987E-06
0.97567	2.9139E-06
0.98503	6.5639E-07
0.99418	7.2742E-07
1.0079	1.5041E-06
1.0169	6.7044E-07
1.0256	2.9983E-06
1.0337	3.6417E-07
1.0466	1.7477E-06
1.0566	1.7453E-06
1.0634	1.3298E-06
