# mesh name: mesh-1
# primitive scorer name: analysis_1_energyDeposit
# iX, iY, iZ, value [MeV]
0,0,0,9.198827687996828e-24
0,0,1,6.68075154884293e-24
0,0,2,6.102478369333052e-26
0,0,3,2.328017744692393e-23
0,0,4,7.585081907302401e-24
0,0,5,8.429937097134098e-24
0,0,6,6.350307604302468e-24
0,0,7,1.374657736811125e-26
0,0,8,7.178874309349254e-24
0,0,9,8.496263133603616e-24
0,0,10,6.401983471619423e-26
0,0,11,6.401983471619423e-26
0,0,12,1.040043446980851e-23
0,0,13,7.611314801883693e-24
0,0,14,3.136155760626218e-23
0,0,15,5.900554070986348e-26
0,0,16,1.651567803339527e-23
0,0,17,1.905504068946024e-23
0,0,18,6.588282341638888e-24
0,0,19,1.224451940616563e-25
0,0,20,5.366414205035283e-26
0,0,21,6.666634091710048e-24
0,0,22,8.34326329319226e-24
0,0,23,6.306343537382297e-24
0,0,24,9.021247284065396e-26
0,0,25,1.34117421621173e-25
0,0,26,7.693419146160963e-24
0,0,27,0
0,0,28,1.052159779076008e-25
0,0,29,7.27540258334993e-24
0,0,30,0
0,0,31,3.689651247948556e-26
0,0,32,1.546498480301433e-23
0,0,33,8.569765508624829e-27
0,0,34,1.462144663036365e-25
0,0,35,1.336981384829471e-25
0,0,36,1.69406307181983e-23
0,0,37,2.230277941434184e-25
0,0,38,1.3954535274455e-25
0,0,39,1.403681274363619e-25
0,0,40,5.748604354535948e-28
0,0,41,8.744399285134327e-26
0,0,42,0
0,0,43,0
0,0,44,5.471879749049381e-24
0,0,45,0
0,0,46,1.113710385011185e-23
0,0,47,1.465288569065812e-23
0,0,48,6.091778928318676e-24
0,0,49,4.189903615268452e-26
0,1,0,8.486789151562745e-26
0,1,1,1.290707128943607e-25
0,1,2,8.626837234067905e-26
0,1,3,1.632786142490629e-25
0,1,4,1.160155978596954e-26
0,1,5,0
0,1,6,6.957844947729433e-26
0,1,7,9.542351326857552e-24
0,1,8,6.789377083181892e-24
0,1,9,1.262388127865972e-25
0,1,10,4.072446762240624e-26
0,1,11,0
0,1,12,2.267101301016999e-26
0,1,13,1.288699034757729e-25
0,1,14,2.127189973019576e-25
0,1,15,1.450641233689794e-25
0,1,16,7.925639344022174e-26
0,1,17,1.857541911147743e-25
0,1,18,5.683644196014432e-26
0,1,19,7.995613410746468e-24
0,1,20,1.543756702534928e-25
0,1,21,5.305352969924145e-26
0,1,22,1.34534845731431e-25
0,1,23,2.094343569507449e-26
0,1,24,6.187400865994999e-26
0,1,25,6.865860311212257e-24
0,1,26,1.757017692814495e-25
0,1,27,0
0,1,28,6.618477293739374e-24
0,1,29,1.640103949371597e-25
0,1,30,6.908650029722101e-24
0,1,31,8.115643058569348e-26
0,1,32,6.430429981544721e-24
0,1,33,1.362331435479123e-23
0,1,34,2.044645538240544e-25
0,1,35,8.850317312096611e-24
0,1,36,2.473252314625849e-26
0,1,37,6.170021621604233e-24
0,1,38,7.501721304678532e-26
0,1,39,7.782551680442281e-24
0,1,40,1.134969082305159e-25
0,1,41,6.898076185408016e-24
0,1,42,7.112476884502452e-24
0,1,43,1.19800628697633e-25
0,1,44,4.477190077488869e-26
0,1,45,1.593844158641935e-25
0,1,46,1.275199431671101e-25
0,1,47,1.350151355412464e-25
0,1,48,9.780029187508405e-26
0,1,49,1.289943222402952e-25
0,2,0,9.812685290357101e-24
0,2,1,1.173384638251677e-25
0,2,2,1.304628771096268e-25
0,2,3,4.717894363460036e-26
0,2,4,5.144254963181783e-26
0,2,5,5.757586009476917e-27
0,2,6,1.210623248768399e-26
0,2,7,9.60132596708061e-24
0,2,8,9.974843656496861e-26
0,2,9,5.954960580140873e-26
0,2,10,6.776014417573457e-26
0,2,11,3.914818414899481e-26
0,2,12,5.08549879085931e-26
0,2,13,9.234693967626487e-26
0,2,14,4.149658600334861e-26
0,2,15,1.170190914039726e-25
0,2,16,1.485943305112068e-25
0,2,17,6.114871415617783e-26
0,2,18,7.16701406962069e-26
0,2,19,1.288304086133463e-25
0,2,20,1.914019647676219e-25
0,2,21,4.152086638525884e-26
0,2,22,1.34415945827465e-23
0,2,23,4.98281577185519e-26
0,2,24,7.700984817418436e-26
0,2,25,0
0,2,26,3.766393967419084e-26
0,2,27,6.47260724256556e-26
0,2,28,1.057995879765575e-23
0,2,29,7.294100388548626e-26
0,2,30,6.424631122077254e-26
0,2,31,4.459395973076765e-26
0,2,32,7.345182510542591e-26
0,2,33,2.075783495604019e-25
0,2,34,2.025868254037564e-25
0,2,35,6.239703767358825e-26
0,2,36,5.70289657808696e-26
0,2,37,1.065640736970852e-25
0,2,38,3.457113994180821e-26
0,2,39,3.634693276872337e-26
0,2,40,4.384306133369678e-26
0,2,41,4.402391110374417e-26
0,2,42,4.453798013268056e-26
0,2,43,0
0,2,44,3.664937174345093e-26
0,2,45,4.497472523372348e-26
0,2,46,1.203520837158056e-25
0,2,47,9.849332979575079e-26
0,2,48,6.403670999223006e-24
0,2,49,1.141968239639886e-25
0,3,0,9.782602676695252e-24
0,3,1,9.488477424241359e-26
0,3,2,1.332990105381476e-25
0,3,3,4.705663647836103e-26
0,3,4,0
0,3,5,7.860689156787757e-24
0,3,6,0
0,3,7,1.307936984641971e-25
0,3,8,9.438044806319998e-24
0,3,9,3.072585407888852e-26
0,3,10,0
0,3,11,7.652198756881365e-26
0,3,12,1.249647568559408e-25
0,3,13,9.976906374067378e-26
0,3,14,3.651004085331426e-26
0,3,15,0
0,3,16,9.655354102465709e-26
0,3,17,4.48968866232417e-26
0,3,18,1.14005576213778e-25
0,3,19,1.80234510940165e-25
0,3,20,9.269210466964308e-24
0,3,21,0
0,3,22,0
0,3,23,0
0,3,24,7.834566606799842e-24
0,3,25,6.18130659513024e-26
0,3,26,1.555504157129933e-25
0,3,27,1.507514818027113e-25
0,3,28,2.034683000611542e-25
0,3,29,1.658268990788746e-25
0,3,30,9.0883402790135e-24
0,3,31,1.63109444713309e-25
0,3,32,9.594412931802616e-26
0,3,33,1.114895002743554e-23
0,3,34,6.998342433764172e-24
0,3,35,1.776559280132756e-27
0,3,36,1.329947785699348e-25
0,3,37,9.803381124851564e-26
0,3,38,0
0,3,39,1.317468336143829e-25
0,3,40,1.241781074497531e-25
0,3,41,1.208531204036595e-26
0,3,42,1.512883982518421e-25
0,3,43,4.022412443124905e-27
0,3,44,7.608570025047874e-26
0,3,45,3.408731338425991e-26
0,3,46,1.01441794727937e-25
0,3,47,6.109224018944497e-26
0,3,48,4.210702324046975e-26
0,3,49,1.10120314141233e-25
0,4,0,6.602033558785309e-24
0,4,1,1.166317101148033e-25
0,4,2,1.552323075216593e-25
0,4,3,2.067688877003232e-25
0,4,4,5.383051669107323e-26
0,4,5,2.072055561756756e-25
0,4,6,1.031448367465194e-23
0,4,7,9.734003065436108e-24
0,4,8,7.339645574127329e-26
0,4,9,1.401826973065355e-26
0,4,10,1.375271188714926e-25
0,4,11,5.085498790859337e-26
0,4,12,7.362936510282797e-24
0,4,13,1.294454052443335e-25
0,4,14,6.429377145336672e-24
0,4,15,0
0,4,16,1.182612926991876e-25
0,4,17,1.71043308997572e-25
0,4,18,1.944170885548343e-25
0,4,19,2.391344372895317e-26
0,4,20,1.215948452355098e-25
0,4,21,1.71277478288576e-25
0,4,22,0
0,4,23,0
0,4,24,4.82248071135941e-26
0,4,25,5.329672569913642e-26
0,4,26,0
0,4,27,1.003107946420863e-23
0,4,28,2.069793659366694e-25
0,4,29,2.920285929541305e-25
0,4,30,8.504389230680438e-24
0,4,31,5.348637720950121e-26
0,4,32,1.256098948195391e-25
0,4,33,0.08534057295601577
0,4,34,5.698621053314464e-26
0,4,35,0.07865188210645715
0,4,36,1.01566802748516e-25
